{'total_loss': 304.9538, 'time_loss': 124.40588, 'mark_loss': 180.54791, 'iter': 169}
{'total_loss': 303.89844, 'time_loss': 124.2334, 'mark_loss': 179.66504, 'iter': 170}
{'total_loss': 302.26666, 'time_loss': 124.37401, 'mark_loss': 177.89265, 'iter': 171}
{'total_loss': 301.05991, 'time_loss': 124.31766, 'mark_loss': 176.74225, 'iter': 172}
{'total_loss': 300.81592, 'time_loss': 124.42151, 'mark_loss': 176.39441, 'iter': 173}
{'total_loss': 299.41876, 'time_loss': 124.01073, 'mark_loss': 175.40804, 'iter': 174}
{'total_loss': 298.80054, 'time_loss': 124.20607, 'mark_loss': 174.59447, 'iter': 175}
{'total_loss': 298.65961, 'time_loss': 124.73779, 'mark_loss': 173.92181, 'iter': 176}
{'total_loss': 296.36496, 'time_loss': 123.95389, 'mark_loss': 172.41107, 'iter': 177}
{'total_loss': 295.50412, 'time_loss': 124.12607, 'mark_loss': 171.37805, 'iter': 178}
{'total_loss': 294.10443, 'time_loss': 124.30016, 'mark_loss': 169.80428, 'iter': 179}
{'total_loss': 293.37137, 'time_loss': 124.00107, 'mark_loss': 169.3703, 'iter': 180}
{'total_loss': 292.33521, 'time_loss': 123.97969, 'mark_loss': 168.35551, 'iter': 181}
{'total_loss': 291.3143, 'time_loss': 124.02982, 'mark_loss': 167.28448, 'iter': 182}
{'total_loss': 290.50598, 'time_loss': 124.14426, 'mark_loss': 166.36172, 'iter': 183}
{'total_loss': 289.27509, 'time_loss': 123.9899, 'mark_loss': 165.28519, 'iter': 184}
{'total_loss': 288.10168, 'time_loss': 123.97476, 'mark_loss': 164.12692, 'iter': 185}
{'total_loss': 286.99579, 'time_loss': 123.70248, 'mark_loss': 163.2933, 'iter': 186}
{'total_loss': 285.87665, 'time_loss': 123.55548, 'mark_loss': 162.32117, 'iter': 187}
{'total_loss': 284.99173, 'time_loss': 123.74867, 'mark_loss': 161.24306, 'iter': 188}
{'total_loss': 285.13159, 'time_loss': 124.17986, 'mark_loss': 160.95174, 'iter': 189}
{'total_loss': 282.69049, 'time_loss': 123.47339, 'mark_loss': 159.2171, 'iter': 190}
{'total_loss': 281.79291, 'time_loss': 123.48062, 'mark_loss': 158.31229, 'iter': 191}
{'total_loss': 280.86542, 'time_loss': 123.2464, 'mark_loss': 157.61902, 'iter': 192}
{'total_loss': 280.19928, 'time_loss': 123.59224, 'mark_loss': 156.60704, 'iter': 193}
{'total_loss': 278.23755, 'time_loss': 123.4866, 'mark_loss': 154.75095, 'iter': 194}
{'total_loss': 278.18811, 'time_loss': 123.59528, 'mark_loss': 154.59283, 'iter': 195}
{'total_loss': 276.69611, 'time_loss': 123.18848, 'mark_loss': 153.50763, 'iter': 196}
{'total_loss': 276.13379, 'time_loss': 123.40167, 'mark_loss': 152.73212, 'iter': 197}
{'total_loss': 274.68866, 'time_loss': 123.16672, 'mark_loss': 151.52194, 'iter': 198}
{'total_loss': 273.87885, 'time_loss': 123.13615, 'mark_loss': 150.74269, 'iter': 199}
{'total_loss': 273.08792, 'time_loss': 123.27608, 'mark_loss': 149.81184, 'iter': 200}
{'total_loss': 271.94635, 'time_loss': 123.12674, 'mark_loss': 148.81961, 'iter': 201}
{'total_loss': 270.95514, 'time_loss': 123.0155, 'mark_loss': 147.93964, 'iter': 202}
{'total_loss': 270.18558, 'time_loss': 123.22641, 'mark_loss': 146.95917, 'iter': 203}
{'total_loss': 268.91611, 'time_loss': 123.3152, 'mark_loss': 145.60091, 'iter': 204}
{'total_loss': 267.96582, 'time_loss': 122.89459, 'mark_loss': 145.07123, 'iter': 205}
{'total_loss': 267.27734, 'time_loss': 123.09656, 'mark_loss': 144.18079, 'iter': 206}
{'total_loss': 265.94855, 'time_loss': 122.67358, 'mark_loss': 143.27496, 'iter': 207}
{'total_loss': 266.35342, 'time_loss': 123.45953, 'mark_loss': 142.89389, 'iter': 208}
{'total_loss': 264.23108, 'time_loss': 122.84206, 'mark_loss': 141.38902, 'iter': 209}
{'total_loss': 263.48648, 'time_loss': 122.75208, 'mark_loss': 140.73441, 'iter': 210}
{'total_loss': 263.18951, 'time_loss': 123.1042, 'mark_loss': 140.08531, 'iter': 211}
{'total_loss': 261.58533, 'time_loss': 122.73528, 'mark_loss': 138.85005, 'iter': 212}
{'total_loss': 260.64868, 'time_loss': 122.65115, 'mark_loss': 137.99753, 'iter': 213}
{'total_loss': 259.78604, 'time_loss': 122.54233, 'mark_loss': 137.24371, 'iter': 214}
{'total_loss': 258.62714, 'time_loss': 122.60184, 'mark_loss': 136.0253, 'iter': 215}
{'total_loss': 257.93689, 'time_loss': 122.73309, 'mark_loss': 135.2038, 'iter': 216}
{'total_loss': 257.54611, 'time_loss': 122.60814, 'mark_loss': 134.93797, 'iter': 217}
{'total_loss': 256.24924, 'time_loss': 122.58842, 'mark_loss': 133.66081, 'iter': 218}
{'total_loss': 254.78157, 'time_loss': 122.24568, 'mark_loss': 132.53589, 'iter': 219}
{'total_loss': 253.29616, 'time_loss': 122.3185, 'mark_loss': 130.97766, 'iter': 220}
{'total_loss': 253.31488, 'time_loss': 122.27853, 'mark_loss': 131.03635, 'iter': 221}
{'total_loss': 252.84955, 'time_loss': 122.6212, 'mark_loss': 130.22835, 'iter': 222}
{'total_loss': 251.72113, 'time_loss': 122.37025, 'mark_loss': 129.35088, 'iter': 223}
{'total_loss': 251.47214, 'time_loss': 122.59377, 'mark_loss': 128.87837, 'iter': 224}
{'total_loss': 249.7554, 'time_loss': 122.15184, 'mark_loss': 127.60356, 'iter': 225}
{'total_loss': 249.20473, 'time_loss': 122.41589, 'mark_loss': 126.78884, 'iter': 226}
{'total_loss': 248.07646, 'time_loss': 122.09481, 'mark_loss': 125.98165, 'iter': 227}
{'total_loss': 247.26401, 'time_loss': 122.21631, 'mark_loss': 125.0477, 'iter': 228}
{'total_loss': 247.5051, 'time_loss': 122.66476, 'mark_loss': 124.84033, 'iter': 229}
{'total_loss': 245.56624, 'time_loss': 122.01506, 'mark_loss': 123.55118, 'iter': 230}
{'total_loss': 244.71007, 'time_loss': 121.90199, 'mark_loss': 122.80807, 'iter': 231}
{'total_loss': 243.80765, 'time_loss': 121.80717, 'mark_loss': 122.00047, 'iter': 232}
{'total_loss': 242.29648, 'time_loss': 121.93808, 'mark_loss': 120.3584, 'iter': 233}
{'total_loss': 241.88937, 'time_loss': 121.67116, 'mark_loss': 120.21822, 'iter': 234}
{'total_loss': 241.12088, 'time_loss': 121.63898, 'mark_loss': 119.4819, 'iter': 235}
{'total_loss': 241.46411, 'time_loss': 122.19247, 'mark_loss': 119.27164, 'iter': 236}
{'total_loss': 239.51022, 'time_loss': 121.80466, 'mark_loss': 117.70557, 'iter': 237}
{'total_loss': 238.64935, 'time_loss': 121.41382, 'mark_loss': 117.23553, 'iter': 238}
{'total_loss': 237.8484, 'time_loss': 121.47726, 'mark_loss': 116.37114, 'iter': 239}
{'total_loss': 236.43875, 'time_loss': 121.71755, 'mark_loss': 114.7212, 'iter': 240}
{'total_loss': 236.41389, 'time_loss': 121.55409, 'mark_loss': 114.8598, 'iter': 241}
{'total_loss': 235.52875, 'time_loss': 121.51904, 'mark_loss': 114.0097, 'iter': 242}
{'total_loss': 234.75763, 'time_loss': 121.25519, 'mark_loss': 113.50244, 'iter': 243}
{'total_loss': 234.10516, 'time_loss': 121.42856, 'mark_loss': 112.67661, 'iter': 244}
{'total_loss': 233.31339, 'time_loss': 121.15372, 'mark_loss': 112.15967, 'iter': 245}
{'total_loss': 232.23262, 'time_loss': 121.17108, 'mark_loss': 111.06154, 'iter': 246}
{'total_loss': 231.41493, 'time_loss': 121.13028, 'mark_loss': 110.28465, 'iter': 247}
{'total_loss': 231.55643, 'time_loss': 121.43728, 'mark_loss': 110.11915, 'iter': 248}
{'total_loss': 229.41302, 'time_loss': 121.28767, 'mark_loss': 108.12535, 'iter': 249}
{'total_loss': 229.45444, 'time_loss': 121.1234, 'mark_loss': 108.33104, 'iter': 250}
{'total_loss': 228.67426, 'time_loss': 121.02098, 'mark_loss': 107.65327, 'iter': 251}
{'total_loss': 227.01016, 'time_loss': 121.00665, 'mark_loss': 106.00351, 'iter': 252}
{'total_loss': 227.14355, 'time_loss': 121.0132, 'mark_loss': 106.13036, 'iter': 253}
{'total_loss': 225.65469, 'time_loss': 120.53619, 'mark_loss': 105.1185, 'iter': 254}
{'total_loss': 225.49356, 'time_loss': 120.93097, 'mark_loss': 104.56259, 'iter': 255}
{'total_loss': 224.88214, 'time_loss': 120.7997, 'mark_loss': 104.08244, 'iter': 256}
{'total_loss': 223.88535, 'time_loss': 120.74521, 'mark_loss': 103.14014, 'iter': 257}
{'total_loss': 223.31502, 'time_loss': 120.71611, 'mark_loss': 102.59891, 'iter': 258}
{'total_loss': 222.41249, 'time_loss': 120.62706, 'mark_loss': 101.78543, 'iter': 259}
{'total_loss': 221.9794, 'time_loss': 120.37129, 'mark_loss': 101.60811, 'iter': 260}
{'total_loss': 221.47745, 'time_loss': 120.55057, 'mark_loss': 100.92688, 'iter': 261}
{'total_loss': 220.5683, 'time_loss': 120.3231, 'mark_loss': 100.24519, 'iter': 262}
{'total_loss': 219.63326, 'time_loss': 120.99873, 'mark_loss': 98.634521, 'iter': 263}
{'total_loss': 219.02351, 'time_loss': 120.33588, 'mark_loss': 98.687637, 'iter': 264}
{'total_loss': 219.20996, 'time_loss': 120.72743, 'mark_loss': 98.482529, 'iter': 265}
{'total_loss': 217.94748, 'time_loss': 120.49675, 'mark_loss': 97.450729, 'iter': 266}
{'total_loss': 217.24347, 'time_loss': 120.38136, 'mark_loss': 96.862114, 'iter': 267}
{'total_loss': 216.04843, 'time_loss': 120.5402, 'mark_loss': 95.508232, 'iter': 268}
{'total_loss': 215.64462, 'time_loss': 120.1339, 'mark_loss': 95.510727, 'iter': 269}
{'total_loss': 215.06866, 'time_loss': 120.23723, 'mark_loss': 94.831436, 'iter': 270}
{'total_loss': 213.26207, 'time_loss': 120.03719, 'mark_loss': 93.224884, 'iter': 271}
{'total_loss': 213.84637, 'time_loss': 120.20609, 'mark_loss': 93.640289, 'iter': 272}
{'total_loss': 213.37721, 'time_loss': 120.16419, 'mark_loss': 93.21302, 'iter': 273}
{'total_loss': 212.64987, 'time_loss': 120.13529, 'mark_loss': 92.51458, 'iter': 274}
{'total_loss': 212.0686, 'time_loss': 120.07366, 'mark_loss': 91.994942, 'iter': 275}
{'total_loss': 210.11441, 'time_loss': 119.92427, 'mark_loss': 90.19014, 'iter': 276}
{'total_loss': 210.59785, 'time_loss': 119.88457, 'mark_loss': 90.71328, 'iter': 277}
{'total_loss': 209.90497, 'time_loss': 119.87637, 'mark_loss': 90.028595, 'iter': 278}
{'total_loss': 210.00662, 'time_loss': 120.20528, 'mark_loss': 89.801338, 'iter': 279}
{'total_loss': 208.58301, 'time_loss': 119.59093, 'mark_loss': 88.992081, 'iter': 280}
{'total_loss': 207.08157, 'time_loss': 119.67762, 'mark_loss': 87.403954, 'iter': 281}
{'total_loss': 208.29489, 'time_loss': 120.0235, 'mark_loss': 88.271393, 'iter': 282}
{'total_loss': 206.93851, 'time_loss': 119.51884, 'mark_loss': 87.419662, 'iter': 283}
{'total_loss': 206.59508, 'time_loss': 119.74782, 'mark_loss': 86.84726, 'iter': 284}
